Year,Season,Latitude,Longitude,Location_Separated,State/Territory,MaxTemp,MinTemp,Rainfall,Sunshine,WindGustSpeed
2007,Spring,-35.27603,149.13435,Canberra,Australian Capital Territory,25.053333333333335,11.753333333333334,3.18,7.88,41.266666666666666
2007,Summer,-35.27603,149.13435,Canberra,Australian Capital Territory,25.11935483870968,13.312903225806451,3.2580645161290325,8.287096774193548,40.58064516129032
2008,Autumn,-35.27603,149.13435,Canberra,Australian Capital Territory,20.921739130434784,6.2076086956521745,0.6543478260869565,8.159782608695652,34.472527472527474
2008,Autumn,-33.861481,151.205475,Sydney,New South Wales,22.382608695652173,14.22717391304348,2.3152173913043477,7.5445652173913045,
2008,Spring,-42.883209,147.331665,Hobart,New South Wales,17.904395604395603,8.465934065934066,1.3164835164835165,7.619318181818182,54.55294117647059
2008,Spring,-42.883209,147.331665,Hobart,Tasmania,17.904395604395603,8.465934065934066,1.3164835164835165,7.619318181818182,54.55294117647059
2008,Spring,-37.813938,144.963425,Melbourne,Victoria,21.5010989010989,11.306593406593407,0.8835164835164836,7.1340659340659345,52.065934065934066
2008,Spring,-35.27603,149.13435,Canberra,Australian Capital Territory,21.54175824175824,7.204395604395605,1.778021978021978,9.054444444444444,45.94505494505494
2008,Spring,-34.928661,138.598633,Adelaide,South Australia,23.166666666666668,12.085714285714285,0.46172839506172836,8.857317073170732,39.84146341463415
2008,Spring,-33.861481,151.205475,Sydney,New South Wales,22.74065934065934,14.484615384615383,2.6263736263736264,7.562637362637363,
2008,Spring,-31.95224,115.861397,Perth,Western Australia,22.684444444444445,11.396703296703295,1.89010989010989,8.786813186813188,38.32967032967033
2008,Spring,-27.47101,153.024292,Brisbane,Queensland,25.864444444444448,16.15056179775281,4.910112359550562,8.444444444444445,33.32222222222222
2008,Spring,-12.45722,130.836639,Darwin,Northern Territory,34.010989010989015,24.84065934065934,1.942857142857143,8.883516483516484,38.8876404494382
2008,Summer,-42.883209,147.331665,Hobart,New South Wales,20.154838709677417,10.180645161290322,1.2645161290322582,8.558064516129033,51.03225806451613
2008,Summer,-42.883209,147.331665,Hobart,Tasmania,20.154838709677417,10.180645161290322,1.2645161290322582,8.558064516129033,51.03225806451613
2008,Summer,-41.438759,147.134674,Launceston,Tasmania,20.822580645161292,9.564516129032258,1.761290322580645,,45.096774193548384
2008,Summer,-37.831799,140.77919,Mount Gambier,South Australia,20.361290322580647,10.587096774193547,3.819354838709677,7.264516129032257,45.61290322580645
2008,Summer,-37.813938,144.963425,Melbourne,Victoria,23.251612903225805,13.412903225806453,2.4774193548387102,8.154838709677419,48.70967741935484
2008,Summer,-37.56266,143.862579,Ballarat,Victoria,21.37741935483871,8.770967741935483,2.690322580645161,,45.87096774193548
2008,Summer,-36.758179,144.280243,Bendigo,Victoria,25.25483870967742,11.035483870967743,1.8258064516129031,,44.0
2008,Summer,-36.07494,146.923935,Albury,Western Australia,27.383333333333333,13.68,1.8620689655172413,,42.56666666666667
2008,Summer,-35.5294,148.7723,Mount Ginini,New South Wales,15.59032258064516,5.787096774193548,3.1548387096774193,,
2008,Summer,-35.433333,149.15,Tuggeranong,Australian Capital Territory,24.925806451612903,12.167741935483871,3.393548387096774,,43.935483870967744
2008,Summer,-35.27603,149.13435,Canberra,Australian Capital Territory,26.358241758241757,13.32857142857143,2.520879120879121,9.087912087912088,44.362637362637365
2008,Summer,-35.003101,117.865952,Albany,Western Australia,20.70967741935484,14.486666666666668,0.9419354838709677,9.393548387096773,
2008,Summer,-34.928661,138.598633,Adelaide,South Australia,25.496774193548386,15.403225806451612,1.3032258064516131,8.55,36.61290322580645
2008,Summer,-34.424,150.893448,Wollongong,New South Wales,24.082758620689653,16.939285714285713,3.3428571428571425,,52.06896551724138
2008,Summer,-33.861481,151.205475,Sydney,New South Wales,25.346666666666668,18.283333333333335,5.21,6.881666666666666,
2008,Summer,-33.75,150.7,Penrith,Western Australia,29.436666666666667,16.513793103448275,2.413793103448276,,41.5
2008,Summer,-32.927792,151.784485,Newcastle,New South Wales,28.282758620689656,17.335714285714285,1.4516129032258065,,
2008,Summer,-31.95224,115.861397,Perth,Western Australia,27.783870967741933,15.596774193548388,0.3741935483870968,11.703225806451613,40.16129032258065
2008,Summer,-28.00029,153.430878,Gold Coast,Queensland,29.743333333333332,20.417241379310347,4.227586206896552,,43.9
2008,Summer,-27.47101,153.024292,Brisbane,Queensland,30.23548387096774,20.69677419354839,2.0193548387096776,9.486666666666666,34.32258064516129
2008,Summer,-23.697479,133.883621,Alice Springs,Northern Territory,34.641935483870974,20.903225806451612,1.7677419354838708,9.100000000000001,42.87096774193548
2008,Summer,-19.26639,146.805695,Townsville,Queensland,32.035483870967745,25.548387096774192,5.767741935483872,9.59032258064516,39.61290322580645
2008,Summer,-16.92304,145.766251,Cairns,Queensland,32.60645161290322,24.480645161290322,6.296774193548386,7.619354838709677,32.9
2008,Summer,-12.45722,130.836639,Darwin,Northern Territory,32.229032258064514,25.27741935483871,10.509677419354839,4.912903225806452,40.10344827586207
2008,Winter,-42.883209,147.331665,Hobart,New South Wales,12.708064516129031,4.219354838709678,1.403225806451613,5.814754098360655,41.08064516129032
2008,Winter,-42.883209,147.331665,Hobart,Tasmania,12.708064516129031,4.219354838709678,1.403225806451613,5.814754098360655,41.08064516129032
2008,Winter,-37.813938,144.963425,Melbourne,Victoria,14.446774193548388,7.064516129032258,1.4387096774193548,4.596774193548387,49.11290322580645
