City1,City1.Longitude,City1.Latitude,City2,City2.Longitude,City2.Latitude,Season,Passenger_Trips
ARMIDALE,151.671234,-30.50828,SYDNEY,151.205475,-33.861481,Summer,9228.18309859155
ARMIDALE,151.671234,-30.50828,SYDNEY,151.205475,-33.861481,Winter,9649.87012987013
AYERS ROCK,131.0369,-25.3444,SYDNEY,151.205475,-33.861481,Autumn,13402.982608695653
AYERS ROCK,131.0369,-25.3444,SYDNEY,151.205475,-33.861481,Spring,14416.845528455284
AYERS ROCK,131.0369,-25.3444,SYDNEY,151.205475,-33.861481,Summer,11560.504201680673
AYERS ROCK,131.0369,-25.3444,SYDNEY,151.205475,-33.861481,Winter,13952.581196581197
BALLINA,153.565414,-28.86414,SYDNEY,151.205475,-33.861481,Autumn,18064.55700325733
BALLINA,153.565414,-28.86414,SYDNEY,151.205475,-33.861481,Spring,19859.815873015872
BALLINA,153.565414,-28.86414,SYDNEY,151.205475,-33.861481,Summer,20693.49196141479
BALLINA,153.565414,-28.86414,SYDNEY,151.205475,-33.861481,Winter,17330.492012779552
BOULDER,121.474197,-30.74614,PERTH,115.861397,-31.95224,Autumn,14289.477477477478
BOULDER,121.474197,-30.74614,PERTH,115.861397,-31.95224,Spring,15349.351351351352
BOULDER,121.474197,-30.74614,PERTH,115.861397,-31.95224,Summer,12800.612612612613
BOULDER,121.474197,-30.74614,PERTH,115.861397,-31.95224,Winter,14814.558558558558
BRISBANE,153.024292,-27.47101,CAIRNS,145.766251,-16.92304,Autumn,67204.38041002279
BRISBANE,153.024292,-27.47101,CAIRNS,145.766251,-16.92304,Spring,77348.27126436781
BRISBANE,153.024292,-27.47101,CAIRNS,145.766251,-16.92304,Summer,68733.67198177676
BRISBANE,153.024292,-27.47101,CAIRNS,145.766251,-16.92304,Winter,81277.35469107551
BRISBANE,153.024292,-27.47101,CANBERRA,149.13435,-35.27603,Autumn,28036.41686746988
BRISBANE,153.024292,-27.47101,CANBERRA,149.13435,-35.27603,Spring,31280.501228501227
BRISBANE,153.024292,-27.47101,CANBERRA,149.13435,-35.27603,Summer,25417.1908045977
BRISBANE,153.024292,-27.47101,CANBERRA,149.13435,-35.27603,Winter,28794.12585812357
BRISBANE,153.024292,-27.47101,DARWIN,130.836639,-12.45722,Autumn,17031.751724137932
BRISBANE,153.024292,-27.47101,DARWIN,130.836639,-12.45722,Spring,18122.248275862068
BRISBANE,153.024292,-27.47101,DARWIN,130.836639,-12.45722,Summer,16116.025287356322
BRISBANE,153.024292,-27.47101,DARWIN,130.836639,-12.45722,Winter,22284.00915331808
BRISBANE,153.024292,-27.47101,EMERALD,145.440933,-37.931671,Autumn,18276.077669902912
BRISBANE,153.024292,-27.47101,EMERALD,145.440933,-37.931671,Spring,19026.78787878788
